"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-06-30,97757,"94550","CA","San Francisco","Alameda","Livermore",977,780600,0.00372894432300373,0.00683606345930607,0.0361029997345368,0.113164908305167,0.0181804562412697,"2017-06","2017-Q2",780600,0,"2017-06"
2017-06-30,98040,"95206","CA","Stockton","San Joaquin","Stockton",978,244200,0.0145409223099294,0.0418088737201365,0.132127955493741,0.159933760453376,-0.0263970401073492,"2006-04","2006-Q2",369600,-0.339285714285714,"2004-07"
2017-06-30,77011,"44111","OH","Cleveland","Cuyahoga","Cleveland",979,70700,0.0187319884726225,0.0474074074074074,0.10641627543036,0.0347480837684682,-0.0226462913197646,"2005-12","2005-Q4",96300,-0.265835929387331,"1998-01"
2017-06-30,70632,"29651","SC","Greenville","Greenville","Greer",980,165600,0.00242130750605327,0.00975609756097561,0.0567964262922782,0.0475122760536899,0.0226269521859321,"2017-06","2017-Q2",165600,0,"2017-06"
2017-06-30,64741,"16801","PA","State College","Centre","State College",981,284300,0.00176180408738548,0.00779865295994328,0.0596347372344391,0.0412272606781872,0.019967214327036,"2017-06","2017-Q2",284300,0,"2017-06"
2017-06-30,97783,"94577","CA","San Francisco","Alameda","San Leandro",982,608900,0.000328569081649417,-0.00587755102040816,0.0765558698727016,0.1436714431477,0.00918446777270887,"2017-03","2017-Q1",612500,-0.00587755102040816,"2017-02"
2017-06-30,66831,"21221","MD","Baltimore","Baltimore","Essex",983,181800,0.0033112582781457,0.00553097345132743,0.0442274554853532,0.0256195093923923,-0.0209194735511552,"2007-02","2007-Q1",225400,-0.193433895297249,"2005-10"
2017-06-30,75570,"40216","KY","Louisville/Jefferson County","Jefferson","Pleasure Ridge Park",984,107600,0.00279589934762349,-0.00738007380073801,0.0446601941747573,0.0237173568886799,0.00969863876351962,"2017-03","2017-Q1",108400,-0.00738007380073801,"2017-02"
2017-06-30,97557,"94102","CA","San Francisco","San Francisco","San Francisco",985,864300,0.000115713955102985,-0.00483592400690846,0.0360824742268041,0.116035443363032,0.0353415880732801,"2017-03","2017-Q1",868500,-0.00483592400690846,"2017-02"
2017-06-30,76573,"43204","OH","Columbus","Franklin","Columbus",986,96900,0.011482254697286,0.0319488817891374,0.149466192170818,0.0623855400333475,0.00198222474474519,"2017-06","2017-Q2",96900,0,"2017-06"
2017-06-30,80977,"52402","IA","Cedar Rapids","Linn","Cedar Rapids",987,137400,0.00512070226773957,0.0385487528344671,0.00807043286867205,0.017473806053981,0.00593911689883853,"2016-08","2016-Q3",138100,-0.00506879073135409,"2016-07"
2017-06-30,93309,"80233","CO","Denver","Adams","Northglenn",988,292900,0.0061834421161113,0.0248425472358293,0.0998873450995118,0.122031771259334,0.0487903126604914,"2017-06","2017-Q2",292900,0,"2017-06"
2017-06-30,84368,"60115","IL","Chicago","DeKalb","Dekalb",989,134200,-0.00223048327137546,0.000745712155108128,-0.00371195248700817,0.0234742536839068,-0.0265849077859239,"2007-04","2007-Q2",177300,-0.243090806542583,"2003-04"
2017-06-30,77068,"44212","OH","Cleveland","Medina","Brunswick",990,168400,0.00238095238095238,0.00537313432835821,0.0420792079207921,0.0357143298484326,0.00277343190494039,"2006-01","2006-Q1",171300,-0.0169293636894337,"2005-06"
2017-06-30,97753,"94546","CA","San Francisco","Alameda","Castro Valley",991,720000,0.00180882148323362,0.00376411543287327,0.076072335973696,0.123066544501415,0.0161855968122677,"2017-06","2017-Q2",720000,0,"2017-06"
